delito,x,y,porcentaje
1,-103.3373046,20.62990893,20
5,-103.4023898,20.61693385,100
1,-103.2601889,20.65820474,20
1,-103.4566298,20.62267535,20
4,-103.3770833,20.65611259,80
3,-103.3628538,20.70622512,60
3,-103.3407857,20.71767352,60
3,-103.3908776,20.62865068,60
3,-103.3196006,20.71645156,60
1,-103.3762937,20.72869387,20
4,-103.2960532,20.62888934,80
3,-103.3825602,20.66670822,60
3,-103.3966974,20.61329008,60
2,-103.3411198,20.74391321,40
1,-103.3110401,20.61070845,20
1,-103.2507799,20.65100075,20
4,-103.4232579,20.65798379,80
2,-103.3138537,20.71226529,40
4,-103.4013245,20.74434811,80
1,-103.3733436,20.68507544,20
2,-103.4268461,20.69071752,40
2,-103.3664297,20.52263007,40
1,-103.2707741,20.69194322,20
1,-103.4123712,20.73081136,20
1,-103.2612556,20.67746451,20
2,-103.2963144,20.62697692,40
4,-103.3602749,20.49840425,80
3,-103.3244954,20.69035332,60
4,-103.3859342,20.69922511,80
4,-103.2758212,20.61914071,80
1,-103.3102976,20.65101783,20
3,-103.2447039,20.62186239,60
3,-103.3735143,20.6858353,60
4,-103.2441264,20.65880074,80
2,-103.3590468,20.70962022,40
1,-103.3549008,20.70305962,20
4,-103.2649703,20.59229551,80
4,-103.2366721,20.63362259,80
4,-103.3734666,20.66467548,80
1,-103.3715395,20.67051806,20
3,-103.2625694,20.619297,60
4,-103.4404602,20.65105792,80
2,-103.3936569,20.65220723,40
1,-103.3548563,20.69945072,20
3,-103.4178546,20.67095145,60
3,-103.3881134,20.64382031,60
2,-103.3618875,20.72991226,40
3,-103.2321057,20.66174909,60
3,-103.3364736,20.70227204,60
2,-103.3582647,20.71002431,40
4,-103.3546325,20.67493845,80
3,-103.319139,20.67728525,60
1,-103.4361104,20.62687205,20
1,-103.2444383,20.67758309,20
4,-103.3430396,20.73251392,80
4,-103.3417381,20.67917112,80
3,-103.3911536,20.6844749,60
3,-103.4001498,20.61826813,60
3,-103.3340995,20.65229675,60
